fr,en,it,de,es,ko,kana
,I just wanted to make sure you're feelin' it!,I just wanted to make sure you're feelin' it!,I just wanted to make sure you're feelin' it!,I just wanted to make sure you're feelin' it!,I just wanted to make sure you're feelin' it!,I just wanted to make sure you're feelin' it!
,Rare are those who really understand the thrills of the Road!,Rare are those who really understand the thrills of the Road!,Rare are those who really understand the thrills of the Road!,Rare are those who really understand the thrills of the Road!,Rare are those who really understand the thrills of the Road!,Rare are those who really understand the thrills of the Road!
,"You can't access the Cycling Road on foot, of course!","You can't access the Cycling Road on foot, of course!","You can't access the Cycling Road on foot, of course!","You can't access the Cycling Road on foot, of course!","You can't access the Cycling Road on foot, of course!","You can't access the Cycling Road on foot, of course!"
,"Hello young mountain biker!\nlHere, having a bike is mandatory!\nlSo mandatory you're going to need two different ones to finish this path.","Hello young mountain biker!\nlHere, having a bike is mandatory!\nlSo mandatory you're going to need two different ones to finish this path.","Hello young mountain biker!\nlHere, having a bike is mandatory!\nlSo mandatory you're going to need two different ones to finish this path.","Hello young mountain biker!\nlHere, having a bike is mandatory!\nlSo mandatory you're going to need two different ones to finish this path.","Hello young mountain biker!\nlHere, having a bike is mandatory!\nlSo mandatory you're going to need two different ones to finish this path.","Hello young mountain biker!\nlHere, having a bike is mandatory!\nlSo mandatory you're going to need two different ones to finish this path."
,"Here, take these, I'm always bringing spare bikes for my spare bikes, in case they fail me.","Here, take these, I'm always bringing spare bikes for my spare bikes, in case they fail me.","Here, take these, I'm always bringing spare bikes for my spare bikes, in case they fail me.","Here, take these, I'm always bringing spare bikes for my spare bikes, in case they fail me.","Here, take these, I'm always bringing spare bikes for my spare bikes, in case they fail me.","Here, take these, I'm always bringing spare bikes for my spare bikes, in case they fail me."
,"For your information, the Mach Bike is the fastest of the two and will allow you to cross obstacles that require a high speed.","For your information, the Mach Bike is the fastest of the two and will allow you to cross obstacles that require a high speed.","For your information, the Mach Bike is the fastest of the two and will allow you to cross obstacles that require a high speed.","For your information, the Mach Bike is the fastest of the two and will allow you to cross obstacles that require a high speed.","For your information, the Mach Bike is the fastest of the two and will allow you to cross obstacles that require a high speed.","For your information, the Mach Bike is the fastest of the two and will allow you to cross obstacles that require a high speed."
,"The Acro Bike is slower, but you can do some sick tricks with it, and cross some obstacles that require agility!","The Acro Bike is slower, but you can do some sick tricks with it, and cross some obstacles that require agility!","The Acro Bike is slower, but you can do some sick tricks with it, and cross some obstacles that require agility!","The Acro Bike is slower, but you can do some sick tricks with it, and cross some obstacles that require agility!","The Acro Bike is slower, but you can do some sick tricks with it, and cross some obstacles that require agility!","The Acro Bike is slower, but you can do some sick tricks with it, and cross some obstacles that require agility!"
,"Well, go have fun now!","Well, go have fun now!","Well, go have fun now!","Well, go have fun now!","Well, go have fun now!","Well, go have fun now!"
,"No need to say, the Bike Parks sure are the thing.","No need to say, the Bike Parks sure are the thing.","No need to say, the Bike Parks sure are the thing.","No need to say, the Bike Parks sure are the thing.","No need to say, the Bike Parks sure are the thing.","No need to say, the Bike Parks sure are the thing."
,"You can't access the Cycling Road on foot, of course!","You can't access the Cycling Road on foot, of course!","You can't access the Cycling Road on foot, of course!","You can't access the Cycling Road on foot, of course!","You can't access the Cycling Road on foot, of course!","You can't access the Cycling Road on foot, of course!"
,"Hey, you there!","Hey, you there!","Hey, you there!","Hey, you there!","Hey, you there!","Hey, you there!"
